dates,distance,parcel_size,parcel_weights,traffic_levels,weather_conditions,sequence_in_delivery,delivery_time_window
2023-09-24,44.95,large,49.56,low,rainy,20.0,morning
2024-09-08,75.75,medium,48.49,low,sunny,72.0,morning
2024-06-19,75.33,small,20.38,low,sunny,96.0,afternoon
2023-11-06,27.29,large,2.21,low,rainy,89.0,afternoon
2024-04-05,57.62,medium,40.48,medium,rainy,4.0,morning
2024-01-06,89.54,medium,42.7,low,sunny,58.0,morning
2024-07-01,48.04,large,27.87,low,sunny,48.0,morning
2024-08-14,94.57,small,36.77,medium,rainy,28.0,morning
2024-01-22,22.23,medium,24.12,medium,snowy,26.0,afternoon
2023-12-12,8.34,small,31.83,high,foggy,14.0,afternoon
2024-01-04,89.25,medium,25.85,medium,sunny,61.0,afternoon
2024-08-29,84.92,medium,24.25,medium,sunny,54.0,afternoon
2024-04-29,99.27,medium,41.1,medium,sunny,34.0,afternoon
2023-10-27,68.26,small,9.38,medium,rainy,79.0,evening
2024-02-22,93.73,large,21.52,medium,rainy,72.0,afternoon
2024-08-24,82.87,medium,33.88,high,sunny,22.0,morning
2024-08-15,84.6,large,49.29,medium,rainy,96.0,evening
2024-02-09,57.35,medium,28.8,low,rainy,79.0,afternoon
2024-06-09,38.85,medium,27.73,medium,sunny,31.0,morning
2023-12-03,93.52,small,25.65,medium,sunny,93.0,afternoon
2023-12-07,43.78,large,3.07,low,sunny,26.0,morning
2024-02-25,54.34,large,32.72,high,rainy,22.0,morning
2024-05-27,45.17,small,48.21,low,sunny,5.0,morning
2023-11-12,56.92,large,36.26,medium,sunny,92.0,afternoon
2024-01-07,47.58,medium,16.32,high,sunny,5.0,morning
2024-08-18,5.75,medium,33.02,medium,sunny,71.0,afternoon
2024-09-07,88.32,large,25.44,medium,rainy,11.0,morning
2024-03-17,44.99,large,33.5,medium,sunny,81.0,afternoon
2024-02-14,59.31,large,49.88,low,sunny,46.0,morning
2024-01-21,14.78,small,30.68,low,rainy,32.0,morning
2024-06-26,1.34,large,1.45,low,sunny,86.0,afternoon
2023-09-24,25.28,large,13.05,low,sunny,58.0,morning
2024-09-04,70.75,medium,21.46,low,sunny,90.0,afternoon
2024-08-07,10.82,small,3.95,medium,sunny,41.0,morning
2023-10-07,90.98,large,23.41,low,sunny,6.0,morning
2024-02-05,22.29,large,22.87,high,rainy,48.0,afternoon
2024-08-06,21.25,small,43.92,low,rainy,79.0,afternoon
2023-11-25,18.97,medium,14.79,low,sunny,61.0,morning
2024-02-19,2.38,small,20.69,low,sunny,60.0,morning
2024-05-06,77.41,medium,12.19,low,snowy,18.0,morning
2023-09-26,87.63,large,40.08,low,foggy,3.0,morning
2024-05-05,61.8,large,39.66,low,rainy,81.0,afternoon
2024-04-24,19.63,small,47.27,low,rainy,4.0,morning
2024-09-14,29.24,large,41.67,low,rainy,84.0,afternoon
2024-08-21,48.12,small,40.43,low,rainy,37.0,morning
2023-10-03,95.48,small,12.19,low,snowy,30.0,afternoon
2023-10-17,25.49,small,34.33,low,rainy,14.0,morning
2024-02-16,73.43,large,2.57,medium,sunny,4.0,morning
2024-06-15,44.51,medium,1.6,low,foggy,6.0,morning
2024-04-26,30.49,large,15.54,low,sunny,90.0,afternoon
2024-07-05,46.14,medium,43.53,high,sunny,34.0,afternoon
2023-12-22,8.05,medium,14.13,low,snowy,12.0,morning
2024-09-09,80.07,medium,46.49,high,sunny,70.0,afternoon
2024-07-14,25.09,large,11.42,medium,sunny,63.0,morning
2024-03-25,72.82,medium,2.85,low,sunny,98.0,afternoon
2024-01-16,7.77,large,29.9,medium,rainy,79.0,afternoon
2023-11-07,95.55,large,40.96,low,rainy,55.0,afternoon
2024-03-21,20.11,small,28.72,low,sunny,75.0,afternoon
2024-08-23,88.39,large,25.51,low,sunny,89.0,afternoon
2023-12-26,81.14,large,22.23,low,rainy,15.0,morning
2024-08-06,96.82,large,35.94,high,sunny,83.0,evening
2024-05-03,48.31,large,48.3,low,rainy,46.0,morning
2024-08-07,73.01,medium,16.05,low,sunny,75.0,afternoon
2024-03-25,37.7,medium,17.47,low,sunny,51.0,morning
2024-01-06,19.25,large,3.81,medium,rainy,80.0,afternoon
2024-06-01,44.86,large,8.68,low,sunny,25.0,morning
2024-05-14,17.41,small,26.54,medium,foggy,56.0,afternoon
2024-05-31,98.22,medium,16.11,medium,snowy,54.0,afternoon
2024-08-26,10.53,large,41.08,low,rainy,49.0,morning
2024-09-18,59.33,small,31.3,low,sunny,21.0,morning
2024-08-28,63.02,small,36.7,high,rainy,11.0,morning
2023-10-15,54.27,large,22.36,low,rainy,3.0,morning
2023-10-08,66.56,small,5.43,low,rainy,31.0,morning
2023-11-24,12.5,small,28.34,medium,rainy,1.0,morning
2024-01-12,55.95,small,13.33,medium,sunny,34.0,afternoon
2024-01-10,29.43,medium,26.35,medium,snowy,10.0,afternoon
2024-01-14,94.08,small,6.02,medium,sunny,15.0,morning
2023-10-05,76.45,small,39.07,low,sunny,17.0,morning
2024-04-14,97.28,large,20.27,low,sunny,91.0,afternoon
2024-07-23,4.72,large,33.43,high,sunny,58.0,afternoon
2023-11-12,29.23,medium,24.87,low,sunny,83.0,morning
2024-09-06,20.35,large,23.6,low,sunny,93.0,afternoon
2024-07-19,2.1,medium,19.4,low,sunny,44.0,morning
2023-11-06,24.99,small,24.4,high,sunny,64.0,afternoon
2023-10-04,68.2,small,30.83,low,rainy,22.0,morning
2024-02-17,23.88,small,11.59,low,sunny,11.0,morning
2024-03-24,51.39,large,35.87,medium,sunny,31.0,morning
2024-07-30,88.89,medium,24.54,high,rainy,54.0,afternoon
2024-04-10,69.68,large,31.03,high,foggy,10.0,afternoon
2024-03-21,40.07,large,23.89,high,sunny,62.0,afternoon
2024-03-22,37.87,medium,8.6,low,sunny,83.0,afternoon
2023-12-14,46.12,medium,16.72,low,rainy,47.0,morning
2024-05-31,18.53,medium,17.36,high,rainy,71.0,afternoon
,63.77,small,20.56,medium,sunny,57.0,afternoon
2024-08-18,37.05,large,16.29,high,rainy,10.0,morning
2024-07-28,85.38,large,33.9,medium,foggy,13.0,morning
2023-12-20,75.9,small,49.71,low,snowy,53.0,afternoon
2024-08-11,61.44,medium,35.46,high,foggy,86.0,evening
2024-04-20,37.06,large,47.97,high,sunny,1.0,morning
2024-07-27,21.78,small,37.05,medium,rainy,35.0,morning
2024-09-06,77.84,large,29.54,low,rainy,95.0,evening
2023-10-03,49.15,large,35.43,low,sunny,77.0,afternoon
2024-01-16,23.25,large,40.93,low,rainy,47.0,morning
2023-11-23,20.32,medium,41.77,low,sunny,17.0,morning
2023-11-09,17.37,medium,6.85,high,snowy,51.0,evening
2024-08-22,77.94,large,31.46,high,sunny,86.0,evening
2023-12-31,23.67,medium,8.42,low,sunny,1.0,morning
2024-01-28,53.14,small,36.64,low,rainy,26.0,morning
2024-06-11,45.7,small,0.77,high,rainy,50.0,afternoon
2023-11-04,58.38,large,32.24,medium,rainy,52.0,morning
2024-07-31,87.84,small,2.92,medium,sunny,47.0,afternoon
2024-09-01,86.91,medium,45.1,medium,foggy,70.0,afternoon
2023-11-28,45.66,medium,37.33,medium,sunny,91.0,afternoon
2024-03-02,2.52,small,46.08,medium,sunny,78.0,afternoon
2023-11-26,43.22,large,24.51,high,sunny,19.0,morning
2024-06-01,61.01,small,0.64,medium,sunny,7.0,morning
2024-04-26,56.22,medium,46.75,low,foggy,87.0,afternoon
2024-05-24,65.48,large,13.79,low,sunny,77.0,morning
2024-07-29,16.25,medium,17.06,medium,sunny,8.0,morning
2024-08-11,65.01,large,27.89,high,rainy,52.0,afternoon
2024-05-14,19.08,large,11.24,high,rainy,52.0,afternoon
2024-07-27,75.3,large,48.01,high,sunny,46.0,afternoon
2024-09-11,34.57,medium,6.92,low,rainy,35.0,morning
2024-08-30,71.28,large,17.03,low,rainy,40.0,morning
2024-07-29,5.74,large,48.11,low,sunny,39.0,morning
,41.38,small,49.57,high,foggy,54.0,evening
2024-01-07,70.8,small,32.26,high,foggy,4.0,morning
2024-01-20,23.46,medium,39.34,medium,foggy,17.0,morning
2024-05-08,79.73,large,29.06,low,sunny,59.0,afternoon
2024-09-11,63.45,small,23.48,high,sunny,52.0,afternoon
2024-09-13,59.17,medium,17.61,medium,sunny,7.0,morning
2024-06-09,36.0,large,12.15,high,sunny,3.0,morning
2023-12-14,48.76,medium,13.67,low,rainy,21.0,morning
2024-05-20,60.14,large,24.62,medium,sunny,71.0,afternoon
2024-01-14,47.77,small,47.19,low,sunny,25.0,morning
2024-08-19,70.13,large,43.57,medium,rainy,58.0,afternoon
2023-11-14,43.94,small,16.7,high,sunny,35.0,afternoon
,21.03,large,47.63,medium,rainy,37.0,afternoon
2024-06-08,22.18,large,8.3,low,sunny,12.0,morning
2023-11-18,1.57,small,27.39,high,sunny,98.0,afternoon
2023-10-12,30.79,small,34.63,low,rainy,57.0,afternoon
2024-06-29,75.14,small,47.12,low,rainy,97.0,afternoon
2024-05-14,79.62,medium,12.15,low,sunny,48.0,morning
2024-09-01,21.04,small,15.75,high,rainy,79.0,evening
2024-03-23,95.95,large,6.29,medium,sunny,45.0,morning
2024-05-21,50.74,medium,17.14,low,sunny,64.0,afternoon
2024-07-30,91.78,medium,41.96,medium,sunny,89.0,evening
2024-07-03,70.97,medium,21.09,high,rainy,57.0,afternoon
2023-12-19,72.52,medium,49.44,medium,sunny,12.0,afternoon
2024-06-27,9.42,small,20.13,low,rainy,40.0,morning
2024-05-13,22.78,large,36.03,low,sunny,52.0,afternoon
2024-02-21,1.87,large,20.29,high,sunny,29.0,afternoon
2024-04-09,71.9,medium,12.3,low,sunny,26.0,morning
2023-11-02,35.1,medium,9.32,medium,snowy,56.0,evening
2023-10-01,78.88,small,9.1,high,sunny,78.0,afternoon
2024-09-14,34.55,large,32.48,low,sunny,72.0,morning
2024-07-11,82.11,small,4.14,low,rainy,58.0,afternoon
2023-10-18,13.94,medium,32.1,medium,sunny,32.0,afternoon
2023-10-09,18.16,medium,21.06,low,foggy,11.0,morning
2023-11-26,34.75,medium,33.32,low,sunny,73.0,morning
2024-03-21,41.44,large,1.6,low,foggy,98.0,afternoon
2023-11-17,35.52,large,7.31,low,rainy,96.0,afternoon
2023-12-31,76.6,medium,43.69,low,foggy,68.0,afternoon
2024-08-08,10.6,large,50.0,high,sunny,74.0,evening
2024-05-27,35.77,medium,42.18,low,foggy,8.0,morning
2024-02-19,83.89,large,6.72,medium,sunny,23.0,morning
2024-05-25,7.61,large,10.46,low,sunny,77.0,morning
2023-12-06,94.29,medium,9.23,low,rainy,90.0,afternoon
2024-07-03,98.65,large,43.45,low,snowy,55.0,afternoon
2024-04-05,9.77,medium,41.44,low,foggy,17.0,morning
2024-02-04,29.84,small,20.87,high,rainy,12.0,morning
2024-08-04,37.87,large,6.64,medium,rainy,69.0,afternoon
2024-08-30,77.86,small,44.48,low,snowy,13.0,morning
2024-07-20,60.0,medium,29.31,high,rainy,33.0,afternoon
2024-09-07,64.79,medium,48.87,low,rainy,90.0,afternoon
2024-05-13,75.99,large,14.47,low,rainy,2.0,morning
2024-01-16,12.68,large,2.35,low,sunny,93.0,afternoon
2024-03-02,83.49,large,49.12,medium,sunny,12.0,morning
2023-09-21,70.86,medium,17.97,high,sunny,25.0,afternoon
2024-01-17,58.16,large,22.69,high,sunny,44.0,afternoon
2023-10-01,89.08,small,4.81,medium,rainy,5.0,morning
2023-12-09,70.33,large,29.85,low,rainy,88.0,afternoon
2024-09-02,20.97,medium,13.37,medium,foggy,12.0,morning
2024-07-02,43.54,small,34.22,low,foggy,93.0,afternoon
2023-10-11,49.91,small,38.12,low,foggy,31.0,morning
2024-03-30,6.47,large,14.74,high,sunny,14.0,afternoon
2024-02-20,95.51,medium,22.35,high,snowy,57.0,evening
2024-05-24,13.73,medium,17.58,low,snowy,81.0,evening
2024-06-23,70.05,large,48.96,medium,sunny,65.0,afternoon
2024-01-28,51.12,medium,42.48,medium,rainy,18.0,morning
2023-11-04,3.54,large,21.36,low,snowy,34.0,morning
2024-08-05,92.55,medium,25.93,low,sunny,13.0,morning
2024-09-16,85.33,small,49.21,low,sunny,73.0,afternoon
2024-04-09,52.9,large,13.97,high,snowy,16.0,afternoon
2024-07-04,23.67,medium,44.32,low,snowy,93.0,evening
2024-06-17,13.04,medium,47.11,low,sunny,36.0,morning
2023-10-05,36.98,large,23.27,medium,sunny,16.0,morning
2024-07-20,26.29,small,12.76,medium,snowy,80.0,afternoon
2024-03-24,51.16,medium,8.19,low,sunny,87.0,afternoon
2024-03-24,96.67,large,4.1,low,rainy,61.0,morning
2024-07-10,57.92,small,9.49,low,sunny,2.0,morning
2024-03-11,89.1,medium,17.17,low,foggy,36.0,afternoon
2024-02-28,65.44,medium,38.79,medium,rainy,63.0,afternoon
2024-07-29,48.05,medium,19.72,high,foggy,6.0,afternoon
2023-12-18,85.61,large,18.48,low,rainy,94.0,afternoon
2023-12-01,47.67,large,42.3,low,sunny,3.0,morning
2024-09-06,86.99,large,29.93,medium,foggy,64.0,afternoon
2024-01-28,29.87,small,23.28,low,sunny,49.0,morning
2024-02-18,13.75,medium,31.66,high,sunny,81.0,afternoon
2024-07-10,85.68,medium,28.23,low,snowy,76.0,evening
2023-10-16,59.15,small,22.5,medium,rainy,96.0,afternoon
2024-01-03,89.02,small,20.28,low,sunny,20.0,morning
2024-05-31,93.84,large,44.31,low,sunny,24.0,morning
2024-08-06,6.31,medium,9.63,high,sunny,10.0,morning
2024-01-18,50.6,small,8.31,medium,rainy,75.0,afternoon
2024-09-17,38.12,small,40.14,low,snowy,73.0,afternoon
2024-06-25,62.96,small,6.47,medium,foggy,79.0,afternoon
2024-08-11,79.57,large,48.51,low,rainy,54.0,morning
2023-11-27,28.78,large,14.31,low,snowy,61.0,afternoon
2023-09-24,56.12,medium,42.74,low,sunny,51.0,morning
2024-06-01,71.16,large,32.53,low,sunny,98.0,afternoon
2024-09-19,14.31,medium,40.55,low,rainy,49.0,afternoon
2024-03-02,81.59,large,20.29,low,rainy,20.0,morning
2024-01-11,61.0,large,10.56,medium,rainy,48.0,afternoon
2023-12-27,95.0,large,47.43,high,sunny,51.0,afternoon
2023-12-02,34.61,small,39.45,low,sunny,47.0,morning
2024-04-16,11.71,large,7.93,high,sunny,15.0,morning
2023-12-31,51.14,medium,22.41,medium,foggy,8.0,morning
2024-07-23,9.5,large,16.86,low,sunny,86.0,afternoon
2024-01-06,96.98,small,8.16,low,sunny,28.0,morning
2024-01-13,4.83,small,29.83,low,sunny,8.0,morning
2024-09-03,75.6,medium,37.12,low,sunny,30.0,morning
2024-05-14,52.99,medium,12.06,low,rainy,17.0,morning
2024-06-28,37.49,small,27.72,medium,sunny,10.0,morning
2024-06-13,7.52,large,10.44,medium,snowy,70.0,afternoon
2024-02-19,62.59,medium,33.22,low,sunny,90.0,afternoon
2023-10-06,58.94,medium,35.1,medium,rainy,98.0,evening
2024-03-11,28.81,large,25.37,low,rainy,2.0,morning
2024-03-05,91.11,large,33.4,low,sunny,23.0,morning
2024-07-12,31.11,large,35.09,low,sunny,37.0,morning
2023-09-29,45.52,small,45.66,medium,sunny,2.0,morning
2023-12-14,54.83,small,41.83,low,sunny,95.0,afternoon
2023-10-08,10.92,large,41.19,medium,snowy,44.0,afternoon
2023-11-17,93.28,medium,1.58,medium,sunny,12.0,morning
2023-09-27,38.08,medium,13.51,medium,sunny,39.0,morning
2024-02-19,9.0,small,10.06,medium,sunny,85.0,afternoon
2024-02-02,39.34,small,49.7,medium,rainy,48.0,afternoon
2024-02-17,60.42,medium,28.41,medium,snowy,24.0,morning
2024-05-14,51.85,small,9.12,low,sunny,59.0,morning
2024-04-13,69.76,small,28.74,low,foggy,10.0,morning
2023-12-10,6.49,medium,34.86,medium,rainy,36.0,morning
2024-09-11,29.17,large,41.25,medium,sunny,57.0,afternoon
2024-06-27,82.1,medium,14.31,medium,rainy,58.0,afternoon
2024-04-03,8.91,small,28.11,medium,foggy,22.0,morning
2024-07-13,85.69,large,15.44,medium,sunny,19.0,morning
2023-10-28,10.1,large,22.78,low,rainy,46.0,morning
2023-09-21,83.61,medium,20.65,low,sunny,19.0,morning
2024-04-10,36.72,large,11.09,high,snowy,37.0,afternoon
2024-07-30,61.61,large,15.02,medium,rainy,76.0,afternoon
2023-11-27,16.14,medium,13.22,low,sunny,58.0,morning
2023-10-21,7.55,large,40.67,low,rainy,16.0,morning
2024-02-27,22.38,large,7.7,low,snowy,55.0,afternoon
2024-08-07,13.66,medium,48.62,medium,sunny,49.0,afternoon
2024-09-12,31.93,medium,20.39,high,sunny,36.0,afternoon
2023-12-10,51.92,small,11.67,high,sunny,75.0,afternoon
2024-06-14,59.29,small,38.25,low,sunny,54.0,afternoon
2024-01-17,79.2,medium,5.06,low,sunny,94.0,afternoon
2023-11-09,65.97,small,40.86,medium,rainy,27.0,morning
2024-08-28,61.27,medium,15.88,low,sunny,34.0,morning
2024-03-22,41.77,small,9.0,low,sunny,54.0,afternoon
2024-06-11,47.91,small,42.32,low,rainy,28.0,morning
2024-08-21,42.04,large,29.97,low,sunny,31.0,morning
2023-12-15,84.37,small,27.16,medium,rainy,20.0,morning
2023-10-14,23.77,large,15.29,low,snowy,15.0,morning
2024-09-20,1.57,small,25.28,high,foggy,40.0,afternoon
2024-02-05,65.48,large,39.16,medium,rainy,14.0,afternoon
2024-08-18,21.04,small,24.11,low,snowy,66.0,afternoon
2024-09-02,89.12,small,31.73,medium,sunny,13.0,morning
2024-08-19,86.05,large,2.42,medium,rainy,54.0,afternoon
2024-06-07,8.6,large,29.85,low,sunny,68.0,afternoon
2024-08-12,11.53,medium,11.93,low,sunny,62.0,morning
2024-02-12,50.02,medium,36.9,high,rainy,32.0,afternoon
2024-06-28,61.31,large,16.02,low,foggy,60.0,afternoon
2023-10-07,28.22,small,15.07,medium,rainy,83.0,afternoon
2024-06-23,71.96,medium,21.02,medium,sunny,89.0,afternoon
2023-11-15,59.9,medium,6.33,low,foggy,66.0,afternoon
2024-01-12,33.16,medium,37.8,low,rainy,48.0,morning
2023-12-30,3.51,medium,31.59,medium,sunny,31.0,morning
2024-07-01,75.26,medium,14.39,low,sunny,52.0,morning
2024-05-15,22.26,large,38.74,low,rainy,69.0,afternoon
2024-07-07,83.61,medium,48.1,low,sunny,62.0,morning
2024-08-19,42.61,large,42.92,high,foggy,40.0,afternoon
2024-02-25,58.13,large,21.01,low,rainy,82.0,afternoon
2023-11-24,87.42,small,15.07,medium,rainy,21.0,afternoon
2024-04-08,86.5,medium,0.9,high,rainy,29.0,afternoon
2024-05-05,37.78,medium,13.31,low,sunny,71.0,morning
2024-07-13,21.68,small,6.23,medium,sunny,49.0,afternoon
2024-08-28,77.74,medium,41.49,medium,rainy,8.0,morning
2023-12-09,43.87,medium,38.98,low,snowy,80.0,afternoon
2023-12-08,20.01,large,23.8,medium,sunny,79.0,afternoon
2023-12-13,90.54,large,6.29,low,snowy,40.0,afternoon
2024-02-18,20.61,small,26.22,low,sunny,20.0,morning
2024-05-31,3.55,large,26.76,low,foggy,4.0,morning
2024-06-22,3.01,medium,31.74,high,rainy,2.0,morning
2023-11-01,62.61,medium,26.52,low,foggy,25.0,morning
2024-06-18,66.51,small,5.43,low,sunny,66.0,afternoon
2024-04-19,31.79,medium,32.13,high,rainy,38.0,afternoon
2024-08-12,32.68,small,49.53,low,rainy,55.0,afternoon
2023-11-21,34.61,medium,31.86,low,rainy,14.0,morning
2023-11-22,68.34,small,18.46,low,sunny,96.0,afternoon
2023-12-28,6.76,medium,31.28,low,sunny,9.0,morning
2024-04-05,92.98,medium,28.16,low,snowy,73.0,afternoon
2024-03-26,23.03,medium,5.2,medium,sunny,50.0,afternoon
2023-12-17,99.97,medium,31.89,high,sunny,42.0,afternoon
2024-06-10,17.98,medium,32.82,high,sunny,20.0,afternoon
2023-10-15,77.38,small,17.82,low,rainy,64.0,morning
2024-03-11,23.12,small,15.39,low,sunny,7.0,morning
2024-06-27,9.0,large,25.11,high,rainy,90.0,evening
2023-09-30,87.62,small,7.67,low,sunny,42.0,morning
2024-06-15,86.02,medium,5.05,medium,rainy,56.0,afternoon
2024-05-02,40.95,small,37.86,low,sunny,61.0,afternoon
2024-07-01,70.54,medium,9.55,low,rainy,89.0,afternoon
2023-09-22,56.15,medium,12.8,low,sunny,33.0,morning
2024-06-14,85.44,large,19.37,low,rainy,22.0,morning
2024-01-30,32.19,small,36.09,low,sunny,70.0,morning
2024-09-02,52.84,small,28.54,low,foggy,40.0,afternoon
2023-12-12,49.05,medium,23.15,low,sunny,55.0,afternoon
2024-07-07,36.04,small,49.22,medium,snowy,97.0,evening
2023-12-06,89.25,small,23.81,low,foggy,1.0,morning
2024-01-08,17.42,small,29.56,low,rainy,90.0,afternoon
2024-04-28,15.8,medium,4.59,medium,sunny,21.0,morning
2024-04-02,58.11,small,13.95,low,snowy,51.0,afternoon
2024-02-26,66.09,medium,15.0,low,snowy,93.0,evening
2024-08-26,20.27,medium,11.56,medium,sunny,11.0,morning
2024-06-04,39.68,small,15.17,low,foggy,24.0,morning
2024-02-25,94.71,large,24.44,low,rainy,36.0,morning
2024-02-28,25.42,medium,42.89,high,sunny,42.0,afternoon
2024-06-27,67.17,small,32.42,medium,rainy,96.0,evening
2024-08-05,74.27,large,40.0,low,rainy,74.0,afternoon
2023-11-09,45.36,medium,24.65,medium,sunny,75.0,afternoon
2024-06-23,93.82,large,28.61,low,sunny,87.0,afternoon
2024-03-28,73.93,small,3.93,low,rainy,3.0,morning
2023-11-25,46.33,large,7.5,low,rainy,71.0,afternoon
2024-04-13,57.36,large,41.64,low,foggy,80.0,afternoon
2023-12-15,69.57,medium,49.64,low,rainy,73.0,afternoon
2024-08-09,59.63,medium,39.25,high,rainy,71.0,evening
2024-05-03,87.99,small,10.24,medium,rainy,53.0,afternoon
2024-02-04,36.33,medium,1.71,low,sunny,82.0,morning
2024-08-12,30.69,large,2.45,low,rainy,21.0,morning
2024-08-27,22.17,large,13.78,high,sunny,1.0,morning
2023-11-22,4.74,small,44.11,high,sunny,84.0,afternoon
2023-10-11,5.26,medium,11.06,medium,sunny,56.0,afternoon
2024-06-08,87.14,medium,32.31,low,rainy,83.0,afternoon
2024-08-11,68.16,small,7.35,medium,rainy,46.0,morning
2023-10-23,66.39,medium,35.47,low,rainy,44.0,afternoon
2024-08-30,61.85,large,7.78,low,rainy,46.0,morning
2024-05-02,85.07,small,19.53,medium,foggy,44.0,afternoon
2023-12-31,48.55,medium,10.7,high,sunny,63.0,afternoon
2024-01-17,87.17,large,14.19,low,sunny,52.0,morning
2024-03-15,36.59,small,35.64,low,rainy,99.0,afternoon
2023-10-18,92.74,large,28.3,low,sunny,82.0,afternoon
2024-03-11,70.17,large,5.49,low,rainy,90.0,afternoon
2024-05-27,26.46,medium,41.81,low,sunny,47.0,morning
2024-08-22,56.84,large,30.37,high,sunny,88.0,evening
2023-10-14,53.77,medium,14.48,high,sunny,69.0,afternoon
2023-10-31,14.65,large,20.25,medium,sunny,1.0,morning
2024-03-02,59.53,medium,44.16,low,rainy,5.0,morning
2024-03-21,32.16,medium,16.62,high,rainy,63.0,afternoon
2024-01-06,6.18,small,14.33,high,rainy,91.0,evening
2024-04-07,94.92,medium,10.92,low,sunny,92.0,afternoon
2023-12-12,64.51,large,39.5,high,rainy,57.0,afternoon
2024-05-17,87.81,small,13.14,medium,rainy,53.0,afternoon
2024-08-08,67.93,small,23.97,low,rainy,33.0,morning
2024-04-25,36.34,large,0.99,high,sunny,63.0,afternoon
2024-05-15,51.76,large,47.98,low,sunny,58.0,afternoon
2024-04-07,67.9,small,41.74,medium,sunny,22.0,morning
2024-03-25,96.06,small,32.81,high,snowy,60.0,evening
2024-08-12,26.11,medium,15.69,high,rainy,18.0,afternoon
2023-09-30,87.62,small,9.79,low,rainy,65.0,morning
2024-03-28,92.48,large,22.18,medium,snowy,50.0,afternoon
2024-04-23,67.37,small,11.57,low,snowy,69.0,afternoon
2024-05-02,93.2,large,46.88,low,foggy,61.0,afternoon
2024-01-07,40.39,large,36.81,medium,sunny,69.0,afternoon
2024-02-26,95.35,medium,34.63,high,sunny,4.0,afternoon
2023-11-28,70.58,medium,34.1,medium,foggy,43.0,afternoon
2024-08-03,5.16,medium,38.38,medium,rainy,35.0,morning
2024-07-23,90.78,large,2.66,low,foggy,44.0,afternoon
2024-07-08,48.96,large,13.29,low,sunny,37.0,morning
2024-09-04,46.57,large,28.99,high,rainy,14.0,afternoon
2023-09-30,57.08,medium,11.31,high,sunny,97.0,evening
2023-10-05,15.79,small,30.19,medium,sunny,59.0,afternoon
2024-07-20,47.45,small,47.95,low,foggy,90.0,afternoon
2024-01-15,83.28,medium,16.94,medium,sunny,73.0,afternoon
2024-08-20,2.53,medium,37.99,low,sunny,15.0,morning
2023-11-26,28.02,large,21.96,high,sunny,98.0,evening
2023-12-17,1.24,large,35.98,low,sunny,40.0,morning
2024-04-07,42.16,large,3.64,low,sunny,30.0,morning
2024-05-16,73.1,small,18.55,medium,rainy,9.0,morning
2024-08-23,80.08,small,36.42,medium,rainy,56.0,afternoon
2023-11-10,94.57,medium,42.38,low,foggy,21.0,morning
2024-02-06,61.24,medium,21.13,low,sunny,61.0,morning
2024-04-20,26.21,large,27.78,low,sunny,59.0,morning
2024-01-07,92.49,small,48.32,medium,rainy,39.0,morning
2023-11-25,77.76,small,23.02,high,rainy,69.0,afternoon
2023-10-11,57.87,medium,12.17,medium,sunny,23.0,morning
2023-11-07,69.87,small,1.52,low,sunny,97.0,afternoon
2024-01-08,92.51,large,46.13,low,sunny,84.0,afternoon
2024-03-21,71.53,small,3.19,high,rainy,47.0,afternoon
2023-10-22,37.47,large,12.31,low,sunny,91.0,afternoon
2024-03-05,71.59,large,42.9,medium,foggy,39.0,afternoon
2023-10-05,4.99,large,47.0,low,rainy,78.0,afternoon
2024-04-25,39.26,large,33.44,medium,rainy,71.0,afternoon
2023-12-20,41.23,small,13.31,low,sunny,35.0,morning
2024-04-13,17.52,small,13.77,medium,rainy,35.0,morning
2024-04-29,3.29,large,25.52,low,sunny,21.0,morning
2024-05-14,14.2,medium,46.74,medium,rainy,15.0,morning
2024-07-06,65.81,medium,47.37,low,sunny,74.0,afternoon
2024-04-01,80.43,large,21.81,low,snowy,55.0,afternoon
2024-05-27,98.83,large,16.4,low,sunny,22.0,morning
2024-05-10,35.29,medium,19.66,low,sunny,41.0,morning
2024-07-13,60.34,small,12.06,low,rainy,52.0,morning
2023-12-17,93.78,small,9.02,medium,rainy,8.0,morning
2023-10-30,17.54,medium,34.35,high,foggy,19.0,afternoon
2024-01-25,72.05,large,13.36,high,sunny,86.0,evening
2023-11-26,75.74,large,41.59,medium,rainy,40.0,afternoon
2024-03-14,9.81,small,12.74,medium,rainy,78.0,evening
2024-05-10,86.26,small,27.73,medium,sunny,12.0,morning
2024-02-03,81.5,large,35.65,high,sunny,3.0,morning
2024-03-16,4.31,small,32.81,low,sunny,51.0,morning
2024-06-04,10.02,medium,6.11,medium,sunny,2.0,morning
2024-05-02,5.86,medium,14.11,low,rainy,51.0,afternoon
2024-01-06,34.14,small,1.32,high,rainy,64.0,afternoon
2023-12-10,51.42,large,29.72,low,sunny,66.0,morning
2024-06-26,53.7,medium,31.0,low,sunny,61.0,afternoon
2023-10-08,27.5,small,24.05,medium,snowy,60.0,afternoon
2024-06-20,91.25,small,31.89,low,rainy,36.0,afternoon
2024-08-09,37.46,large,42.64,low,snowy,61.0,afternoon
2024-06-27,5.51,small,13.1,low,sunny,89.0,afternoon
2024-02-08,30.72,medium,27.14,low,sunny,64.0,afternoon
2023-12-02,53.58,small,7.19,low,rainy,48.0,morning
2024-01-20,41.41,large,12.12,low,sunny,84.0,morning
